"","X.1","X","countries","countrycode","AverageGDPrate","GDP","birdspeciesthreatened","ln_landarea","Gov","average_population_density","mammalspeciesthreatened","Price_Index_yr2011","terrestrialprotectedareasoftotal","ln_popdnsty","constant","AvgCO2ReductionPercent","new_domexp","ln_newdomexp","AvgAgGrowth","GDPmultiplier","X2030GDP","iso3c.x","aglandpercent","futureagland","growthmultiplier_agland","futureco2level","growthmultiplier_co2ems.x","iso3c.y","co2emissions","AvgCO2Growth","iso3c","co2ppp","futureco2levelppp","growthmultiplier_co2ems.y","ln_futureGDP","ln_futureAgLand","ln_futureco2ppp","futureGDP_sq","ln_rishman","ExpRishman","mlr1Expenditures","oilrentsofgdp","terrestrialandmarineprotectedare","RishmanNeeds","mlr1Needs","SPCO2growth","SPAgGrowth","ExpRishmanSP","Expmlr1SP","RishmanNeedsSP","Mlr1NeedsSP","futureCO2_EMS","GSGDPgrowth","GSgdp","ln_GSGDP","GSgdp_sq","GCco2reduction","GCAgGrowth","Expmlr1GC","RishmanNeedsGC","mlr1NeedsGC","ExpRishmanGC"
"1",1,1,"Afghanistan","AFG",0.0623540586846197,19362969582.3643,16,13.38912,-3.608307,48.1928,11,46.7061,0.103138,3.87520963230525,1,-29.6380874177038,NA,NA,6.95794474142065e-09,1.03117702934231,40013205126.8576,"AFG",58.0675795729559,40.6473057010691,1.00000000006958,624247.107658836,1.29638087417704,"AFG",9809.225,29.6380874177038,"AFG",0.154910350011498,1.81533205232353,1.16628510067829,24.4124753647515,4.06160749829352,0.59626839992228,595.968953434598,16.1797753436236,10636216.0435889,54484097.2135217,1.72775,0.104707,14439949.7279494,83668522.0117016,0,0,10873560.1504779,6004350.46139725,11410985.488201,9729181.83380632,0.108437245008049,0.0311770293423098,27987926435.6403,24.0550390554016,578.644903956895,0.3,-0.3,3322832.61090556,8182593.15087706,5462286.07246364,7557243.96062792
"2",2,2,"Albania","ALB",0.0316328422658065,15102500898.238,8,10.2183,-0.0820191,106.224,3,57.818,17.5607,4.6655500719768,1,-3.46864773983352,NA,NA,0.554010661328688,1.0158164211329,21945768054.939,"ALB",43.1277354442292,30.1894148109604,1.00554010661329,9865.0069718336,1.03468647739834,"ALB",5716.853,3.46864773983352,"ALB",0.175745946546153,0.102234367474052,0.966706135145046,23.81184015856,3.84151373729108,-2.28048738108673,567.003731736811,16.1673488547116,10504863.0414334,13661368.8301225,0,13.3997,10456022.8781057,21697643.6128811,0,0,9939486.93404905,8352382.37663766,10877046.4391129,13425513.4829624,0.123022162582307,0.0158164211329032,18231886965.432,23.6264379290808,558.208569216706,0.3,-0.3,5429231.19660783,8667020.41178989,8818874.9343747,7752662.48999977
"3",3,3,"Algeria","DZA",0.0273636363636364,173757952824.25,15,14.68334,-1.858835,15.7886,14,53.9264,7.49671,2.75928816062548,1,-5.32473947335842,NA,NA,0.0434928437231024,1.01368181818182,240234274266.971,"DZA",17.3655391515237,12.1558774060666,1.00043492843723,333465.839797856,1.05324739473358,"DZA",145400.217,5.32473947335842,"DZA",0.260745941243249,0.262147148616036,1.00033502198132,26.2048804269499,2.86057540825285,-1.33884929694041,686.695758190742,17.8411682205428,56017137.0448213,44983524.3020832,0,7.1055,47245396.2363704,69401959.9422015,0,0,55925178.7975659,29822387.0432963,53413855.8368222,46473625.3230026,0.182522158870274,0.0136818181818182,204533558214.342,26.0439978978142,678.289826501348,0.3,-0.3,21918649.7452098,47647444.9968305,34413876.8326436,49354811.3097139
"4",4,4,"American Samoa","ASM",0,6.36e+08,8,5.298317,1.718405,282.036,1,NA,11.9885,5.64203472236479,1,NA,NA,NA,-0.191666492157486,1,6.36e+08,"ASM",24.5000004768372,17.150000333786,0.998083335078425,NA,NA,"ASM",NA,NA,"ASM",NA,NA,NA,20.2707091213044,3.1718140799748,NA,410.901648280533,NA,NA,NA,0,8.71588,NA,NA,0,0,NA,2150296.76929276,NA,3572447.64276629,NA,0,6.36e+08,20.2707091213044,410.901648280533,0.3,-0.3,1648302.31227802,NA,2756228.85631398,NA
"5",5,5,"Andorra","AND",0,3236543909.34844,3,6.152733,3.196657,172.165,2,NA,24.8818,5.14845331930262,1,1.89484466870385,NA,NA,-1.44536103801664,1,3236543909.34844,"AND",39.9574482694585,27.9702137886209,0.985546389619834,340.212863909918,0.981051553312962,"AND",462.042,-1.89484466870385,"AND",NA,NA,NA,21.8977719027815,3.48398795598705,NA,479.512414306246,NA,NA,4401828.74764245,NA,24.8821,NA,7186641.26490546,0,0,NA,9001572.38567776,NA,14442670.3940952,NA,0,3236543909.34844,21.8977719027815,479.512414306246,0.3,-0.3,6249476.20104779,NA,10116513.0091595,NA
"6",6,6,"Angola","AGO",0.0315983572324965,105750987618.63,32,14.03601,-2.208952,20.2541,18,93.9761,6.97095,3.00835724219424,1,-6.47301392650025,NA,NA,0.275185260179812,1.01579917861625,153607398672.922,"AGO",47.4773401780701,33.2341381246491,1.0027518526018,94831.367223136,1.064730139265,"AGO",34763.16,6.47301392650025,"AGO",0.179228056595686,0.107002942084371,0.968276424235056,25.7576658249434,3.89872557295791,-2.23489894878262,663.457348749459,17.8676767219334,57521924.1081824,62748951.2142074,22.2404,5.00471,285451507.366165,96029695.8665448,0,0,55814088.4568638,34408520.4508358,266702659.853144,53434006.0825247,0.12545963961698,0.0157991786162483,127637626553.609,25.5724610433356,653.950763812918,0.3,-0.3,20796532.5023171,207865961.32213,32693872.1738794,42493774.6916745
"7",7,7,"Antigua and Barbuda","ATG",0.00432263676121581,1610574074.07407,3,6.086775,1.012466,204.623,2,82.6945,18.8231,5.32116926166675,1,-2.37149323348189,NA,NA,0,1.00216131838061,1696132289.52263,"ATG",20.4545454545455,14.3181818181818,1,773.648205192671,1.02371493233482,"ATG",531.715,2.37149323348189,"ATG",0.265955229185654,0.248729723231506,0.995823674876885,21.251616372172,3.01820512940605,-1.39138842091315,451.631198429968,13.4472151894066,691912.782223084,1618226.34996395,0,0.26279,730714.201275705,2707150.36889051,0,0,691754.385779816,1356439.87968124,730458.58958224,2278974.40355644,0.186168660429958,0.00216131838060791,1652845778.08608,21.2257643532392,450.53307237924,0.3,-0.3,1068838.48865002,666105.87320868,1806219.10713142,625366.77422215
"8",8,8,"Argentina","ARG",0.0127017961821278,519871519807.795,52,14.82226,-0.5935276,15.2755,38,83.2112,8.8355,2.72625023774616,1,-2.69959738479298,NA,NA,0.530180379957949,1.00635089809106,604888028407,"ARG",54.3357121193851,38.0349984835696,1.00530180379958,312451.257275764,1.02699597384793,"ARG",204024.546,2.69959738479298,"ARG",0.238975967049125,0.148244057986952,0.97059699342696,27.1283092008352,4.06921087456325,-1.90889532293993,735.945160096118,20.125746296054,550174630.642393,762882600.364439,0,7.44628,506361576.875616,1098615804.34938,0,0,514712254.833575,489842658.854877,547000671.636114,713064449.707003,0.167283176934387,0.0063508980910639,560904969968.209,27.0528173341243,731.854925713494,0.3,-0.3,294940159.695556,425004143.685741,434680239.974957,390542491.981575
"9",9,9,"Armenia","ARM",0.0271363739666974,12433089919.0459,14,10.25661,-0.4377487,102.383,9,64.7687,23.1103,4.62872068319829,1,-5.01219099810334,NA,NA,-0.460791562020364,1.01356818698335,17144166841.111,"ARM",58.8970863655824,41.2279604559077,0.995392084379796,12093.3819108314,1.05012190998103,"ARM",5529.836,5.01219099810334,"ARM",0.225901574651004,0.14853641221875,0.974136024928509,23.5649238268197,4.01113171490182,-1.90692515066975,555.305634963815,16.1210443704285,10029530.7121974,10750148.2118568,2.40926,23.11,12512118.3086032,17173809.9409112,0,0,10615249.67551,9149173.86336641,17809155.8482207,14673679.8670743,0.158131102255703,0.0135681869833487,14615535241.4896,23.4053508575889,547.810448766838,0.3,-0.3,5435083.32457842,13346837.3341077,8828149.19165399,7742670.45685973
"10",10,10,"Aruba","ABW",0,NA,2,5.192957,2.762994,572.009,2,90.7795,12.7884,6.34915472552175,1,8.50478485953252,NA,NA,0,1,2570278253.9186,"ABW",11.1111111111111,7.77777777777777,1,210.504793498656,0.914952151404675,"ABW",872.746,-8.50478485953252,"ABW",0.220024128705687,0.0421113703599782,0.90182146172475,21.66728,2.40794560865187,-3.16743749494933,469.4710225984,14.2193722770631,1497596.84359808,1195281.98039712,0.01589,0.270103,1477047.16243247,2014403.91891807,0,0,1494059.63706263,2250694.42731537,1478551.83996896,3735093.93790065,0.154016890093981,0,NA,NA,NA,0.3,-0.3,NA,NA,NA,NA
"11",11,11,"Australia","AUS",0.0267568055957893,1433904348500.12,52,15.85472,3.738928,2.96069,63,200.991,18.5037,1.0854223492786,1,-0.563997948596282,NA,NA,-1.52732940338438,1.01337840279789,1968481164360.85,"AUS",48.2419442487149,33.7693609741004,0.984726705966156,395277.939130175,1.00563997948596,"AUS",361261.839,0.563997948596282,"AUS",0.328257115767155,0.147988959879883,0.951428043194777,28.3082833787606,3.66075300475039,-1.91061760340659,801.358907852214,23.446332052132,15226939812.7665,15873386005.686,0.638071,29.3365,26120910347.2798,21230760114.6529,0,0,17587744199.8702,28877560344.5499,29799393184.5399,38065309250.1224,0.229779981037008,0.0133784027978947,1681821553130.14,28.1508985797763,792.473090848852,0.3,-0.3,16741549916.4586,23231310370.3127,22362925558.553,13394059815.2682
"12",12,12,"Austria","AUT",0.0107420701540158,455285818035.125,13,11.32116,3.447455,102.935,3,148.79,28.412,4.63409772106127,1,1.97385837140365,45950000,17.643064406766,-0.618216135151368,1.00537103507701,517568974985.371,"AUT",32.3566761396415,22.6496732977491,0.993817838648486,42677.592209211,0.980261416285964,"AUT",58712.337,-1.97385837140365,"AUT",0.140776802975911,0.0527924424595792,0.940540586420904,26.9724086382002,3.39000147130653,-2.94138723374999,727.510827746055,19.6494061297746,341687156.657249,333748383.988716,0.059393,28.4133,369819498.247993,490397422.366269,0,0,355984850.459314,489361022.138733,383939715.751229,712380391.368654,0.0985437620831377,0.0053710350770079,485512650165.608,26.9084711802922,724.065821260617,0.3,-0.3,342239167.968456,328762160.916104,502565994.295513,300411603.832396
