"","iso3c.x","aglandpercent","countrycode","AvgAgGrowth","iso3c.y","co2emissions","AvgCO2Growth"
"1","ARB",36.6108495095988,"ARB",0.0333600747966177,"ARB",1895700.3207852,4.29693469052321
"2","WLD",37.4307396653348,"WLD",-0.0305307704991068,"WLD",36138285,2.45568983392157
"3","EAP",48.8136992569236,"EAP",0.324254740353487,"EAP",11688627.3270674,6.53023843147083
"4","ECA",28.17853686509,"ECA",0.046331633504084,"ECA",3029861.39407698,0.670483999405584
"5","SAS",56.8062877842561,"SAS",0.0228240489285429,"SAS",2516434.746,6.55854178169375
"6","AND",39.9574482694585,"AND",-1.44536103801664,"AND",462.042,-1.89484466870385
"7","ARE",5.4745140494645,"ARE",-2.86431856520655,"ARE",211369.547,6.73059484288384
"8","AFG",58.0675795729559,"AFG",6.95794474142065e-09,"AFG",9809.225,29.6380874177038
"9","ATG",20.4545454545455,"ATG",0,"ATG",531.715,2.37149323348189
"10","ALB",43.1277354442292,"ALB",0.554010661328688,"ALB",5716.853,3.46864773983352
"11","ARM",58.8970863655824,"ARM",-0.460791562020364,"ARM",5529.836,5.01219099810334
"12","AGO",47.4773401780701,"AGO",0.275185260179812,"AGO",34763.16,6.47301392650025
"13","ARG",54.3357121193851,"ARG",0.530180379957949,"ARG",204024.546,2.69959738479298
"14","ASM",24.5000004768372,"ASM",-0.191666492157486,"ASM",NA,NA
"15","AUT",32.3566761396415,"AUT",-0.618216135151368,"AUT",58712.337,-1.97385837140365
"16","AUS",48.2419442487149,"AUS",-1.52732940338438,"AUS",361261.839,0.563997948596282
"17","ABW",11.1111111111111,"ABW",0,"ABW",872.746,-8.50478485953252
"18","AZE",57.7355751784202,"AZE",0.031704138754456,"AZE",37487.741,2.21045022061918
"19","CEB",46.7157078426767,"CEB",-0.544967071089074,"CEB",636385.848,-1.38304992786936
"20","BIH",43.14453125,"BIH",0.23138246042503,"BIH",22233.021,3.77231653978473
"21","BRB",23.2558139534884,"BRB",-4.532992007992,"BRB",1272.449,0.131586887535747
"22","BGD",70.6323266569678,"BGD",-0.0917782338478915,"BGD",73189.653,6.9068430078472
"23","BEL",44.6103054434653,"BEL",-0.210469802737104,"BEL",93350.819,-1.5925341931619
"24","BFA",44.2251461988304,"BFA",1.22882320193221,"BFA",2849.259,10.3727646011062
"25","BGR",46.2509211495947,"BGR",-0.318557724865721,"BGR",42416.189,-0.598337495272134
"26","BHR",11.0539846325564,"BHR",-0.42486569670891,"BHR",31338.182,6.81620022944134
"27","BDI",79.1666666666667,"BDI",1.34415818804562,"BDI",440.04,9.76615019480966
"28","BEN",33.2564739269244,"BEN",1.20060794815404,"BEN",6318.241,10.8561898201689
"29","BMU",5.55555567819886,"BMU",-2.49999981373547,"BMU",575.719,1.59142262854259
"30","BRN",2.73244774545167,"BRN",3.56861529131278,"BRN",9108.828,8.46276356837038
"31","BOL",34.7872242222838,"BOL",0.153817913266109,"BOL",20410.522,6.79501373340594
"32","BRA",33.9245334488295,"BRA",0.3895862974628,"BRA",529808.16,4.71463127364533
"33","BHS",1.3986013986014,"BHS",0.871794871794872,"BHS",2416.553,4.4051163659327
"34","BTN",13.6063342409668,"BTN",-1.03302598755157,"BTN",1001.091,13.5964683216534
"35","BWA",45.6330167970197,"BWA",0.0230907106479838,"BWA",7033.306,7.14256204216264
"36","BLR",42.0354891269939,"BLR",-0.488833265485663,"BLR",63497.772,0.914985104632344
"37","BLZ",7.01446733888645,"BLZ",0.517483481664915,"BLZ",495.045,3.29530840525048
"38","CAN",6.89183824507808,"CAN",-0.507865542785207,"CAN",537193.498,-0.24546780889796
"39","COD",11.5568690589092,"COD",0.237962956912967,"COD",4671.758,15.6298956837864
"40","CAF",8.15435487495586,"CAF",-0.2484191674343,"CAF",300.694,2.53716956737776
"41","COG",31.1185944363104,"COG",0.0727830965791209,"COG",3094.948,13.0194887709688
"42","CHE",38.3634460279084,"CHE",-0.200872082054185,"CHE",35305.876,-1.12703800599695
"43","CIV",64.7798742138365,"CIV",0.147783251231527,"CIV",11045.004,4.55935656022763
"44","CHL",21.1716498322513,"CHL",-0.0365893137059495,"CHL",82562.505,3.40638876161317
"45","CMR",20.6257536333058,"CMR",0.575343881659278,"CMR",7003.97,7.13716846036099
