"","countries","type","amt_provided_developinginthousan","mobilizing_int_finflowsinusdthou","mobililizing_int_flows_coeff","dom_exp","gaps","needs","avail_resources","expected_funding_gap","int_pob","incl","eval","inc_pob","type_exp","sources","domestice_sources","international_sources","report_dom_exp","report_funding_gaps","prepare_fin_plans","newneeds","domexp_thousand","ln_newneeds","lndomexp_thousand","birdspeciesthreatened","mammalspeciesthreatened","landareasqkm","ln_landarea","politicalstabilityandabsenceofvi","governmenteffectivenessestimate","Price_Index_yr2011","terrestrialprotectedareasoftotal","terrestrialandmarineprotectedare","gdpconstant2010us","lnGDP","GDP_sq","CO2_Ems","GDP_CO2","Threatened_Species","yhat_exp","exp_domexp3","yhat_9","N9","manual_exp7","lnmanual_exp7","error","controlofcorruptionestimate","regulatoryqualityestimate","ruleoflawestimate","voiceandaccountabilityestimate","populationgrowthannual","average_co2emmkt","average_population_density","Gov","agriculturallandoflandarea","ln_average_co2emmkt","ln_manual_E12","manual_E12","oilrentsofgdp","yhat_N12","N_12","OR_Table9","countrycode","pc1","pc2","pc3","pc4","pc5","pc6","yhat_exp_pca","Exp_pca","manual_exp_pca","lnmanual_exp_pca","yhat","N_pca","biofin","dev","broad_region","new_domexp","ln_newdomexp","new_needs","constant","ln_agland","ln_CO2ems","ln_popdnsty","ln_GDP2010","AvgCO2ReductionPercent","ln_CO2reduct","EmAbsDiff","EmExtrapExp","ln_emexp2","ln_Emily_Manual_Exp","Emily_Manual_Exp","ln_rishman2","ExtrapExpRishman","ln_anthony","anthonyMan","EmilyNeeds"
"1","Australia","Developed_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,63,7700000,15.85472,0.966359,1.57443,200.991,18.5037,29.3365,1.2e+12,27.81334,773.582,0.431804,12.00991,115,22.6732,7.03e+09,22.49785,5.9e+09,7.03e+09,22.6732,NA,1.83059,1.88178,1.78019,1.3761,1.55042,380274,2.96069,3.738928,52.539,12.84865,23.81704,2.21e+10,0.638071,23.48267,1.58e+10,1,"AUS",4.366609,1.819488,-0.0710258,1.07357,-0.2636148,0.1687461,23.11086,1.09e+10,1.09e+10,23.11086,23.03473,1.01e+10,0,3,"Oceania",NA,NA,NA,1,3.96155575095864,-0.839783497396398,1.0854223492786,27.8133426727225,0.10925639055113,-2.21405795197001,NA,6788101780.47716,22.6384371783835,22.6384371783835,6788101780.47716,23.4337441571893,15036466041.1397,22.8805941279066,8648001821.47043,9268848472.30826
"2","Austria","Developed_Countries",NA,NA,NA,45950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6e+07,NA,17.64306,13,3,82549.7,11.32116,1.05751,1.49564,148.79,28.412,28.4133,4.1e+11,26.73942,714.9968,0.183316,4.901764,16,19.72629,3.69e+08,19.75013,3.78e+08,4.6e+07,17.64306,-2.083225,1.53296,1.46271,1.8622,1.36715,0.84786,65516.7,102.935,3.447455,33.4419,11.09006,17.64306,4.6e+07,0.059393,17.52546,40900000,1,"AUT",1.07218,2.868862,-0.7250245,0.3509098,-1.138286,0.1282448,19.76744,3.84e+08,4.6e+07,17.64306,17.9128,60200000,0,3,"Europe",45950000,17.643064406766,NA,1,3.50980960478423,-1.69654383934798,4.63409772106127,26.7394229966448,2.43678964332589,0.89068145303724,128993042.267857,422628532.957176,19.862004178513,17.643064406766,45950000,19.6658524041535,347353101.519465,19.8045074669962,399014161.615987,70856389.1848072
"3","Belgium","Developed_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,30280,10.31824,0.514032,1.29994,150.393,23.2656,24.6255,5e+11,26.93787,725.649,0.234584,6.319194,10,18.927,1.66e+08,19.00487,1.79e+08,1.66e+08,18.927,NA,1.55854,1.25286,1.41785,1.3826,0.465289,101236,364.527,2.838679,44.5713,11.52521,19.06409,1.9e+08,0,18.69745,1.32e+08,1,"BEL",1.036713,2.558614,-0.1780314,0.4899551,-1.006014,-0.6317486,19.68722,3.55e+08,3.55e+08,19.68722,19.82765,4.08e+08,0,3,"Europe",NA,NA,NA,1,3.79709015413462,-1.44994154628209,5.89860062277944,26.9378739353686,1.53339093246799,0.427481578774441,NA,273219306.312926,19.4257853504881,19.4257853504881,273219306.312926,19.0936281129249,196000567.563915,19.0002067535867,178519206.634132,403418844.755228
"4","Bulgaria","Developed_Countries",NA,NA,NA,75015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5e+07,NA,18.1332,17,8,108573,11.59518,0.184957,0.223078,60.5104,34.6991,28.2937,5.3e+10,24.69356,609.7718,0.428624,10.58425,25,17.62002,44900000,17.78623,5.3e+07,7.5e+07,18.1332,0.513176,-0.198522,0.598597,-0.054997,0.38046,-0.67441,46093,67.3264,0.3747948,46.641,10.73842,18.1332,7.5e+07,0.027357,18.04146,68400000,1,"BGR",0.243833,0.4193024,0.9231201,0.8734148,0.21897,1.081917,17.57242,42800000,7.5e+07,18.1332,18.37193,95200000,0,3,"Europe",75015000,18.1331986515032,NA,1,3.84247998263571,-0.847175201243477,4.20955243313426,24.6935577504985,1.32594372836892,0.282124453735681,58523226.1073551,26971782.5389575,17.1103017863303,18.1331986515032,75014999.9999999,17.666448758244,47037172.8252279,17.6555527197497,46527436.0782102,114303473.140973
"5","Canada","Developed_Countries",77160.2,90955,1.16,7200000,NA,NA,NA,NA,1,2,1,1,0,5,NA,NA,1,1,1,NA,7.21e+09,NA,22.69873,24,18,9100000,16.02307,1.15985,1.77487,161.931,9.68705,6.47717,1.7e+12,28.16656,793.3549,0.387264,10.90789,42,23.43286,1.5e+10,23.20616,1.2e+10,7.21e+09,22.69873,-0.7341213,1.90214,1.77066,1.82917,1.46572,1.09584,537729,3.81782,3.91746,6.9866,13.19511,22.69873,7.21e+09,1.33442,22.02484,3.68e+09,1,"CAN",3.313903,2.546464,0.5262814,-0.4188584,-0.8580287,0.0413412,21.44251,2.05e+09,7.21e+09,22.69873,22.64867,6.86e+09,0,3,"America",7.2e+09,22.6973468629684,NA,1,1.94399402875447,-0.948648647982281,1.33967957909004,28.1616493669907,0.120040475401247,-2.11992629806087,4448459400.13623,2533329574.68535,21.6528003118927,22.6973468629684,7199999999.99999,22.6201703953155,6665230644.57254,23.5194429735206,16381901142.8045,9817187400.59604
"6","Croatia","Developed_Countries",NA,NA,NA,95427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95400000,NA,18.37387,14,9,55960,10.93239,0.666871,0.545865,91.6218,38.2058,23.5566,6.1e+10,24.83414,616.7344,0.234751,5.829839,23,17.39241,35800000,17.574,42900000,95400000,18.37387,0.9814663,0.197188,0.397365,0.31765,0.521669,-0.797168,20284.6,75.8314,0.9926277,24.6431,9.917619,18.37387,95400000,0.35241,18.31083,89600000,1,"HRV",-0.0948358,1.54284,-0.4962957,0.1501136,-0.2019042,1.295977,17.49725,39700000,95400000,18.37387,18.59738,1.19e+08,0,3,"Europe",95427000,18.3738721152442,NA,1,3.20449694244,-1.44922990105193,4.32851245489241,24.8341397011197,3.5318933588493,1.26183408943463,86474068.5301411,17202108.5204591,16.6605425226691,18.3738721152442,95427000,17.3242841143779,33407270.5160025,17.6764068508842,47507913.2983566,144556606.34005
"7","Cyprus","Developed_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9240,9.131297,0.557611,0.998165,120.607,18.6503,1.6871,2.5e+10,23.94214,573.2262,0.281479,6.73921,13,16.72705,18400000,16.95361,23100000,18400000,16.72705,NA,0.866513,1.05223,0.895337,1.03828,0.778434,7415.08,122.025,2.049533,13.3092,8.911271,16.27925,11700000,0,16.31517,12200000,1,"CYP",-0.6544161,2.069267,0.2388503,-0.2584412,-0.0138193,0.4076639,16.64228,16900000,16900000,16.64228,16.97532,23600000,0,3,"Europe",NA,NA,NA,1,2.58845552541656,-1.26769743454038,4.80422594177321,23.9421416618146,2.89169259030577,1.06184200207187,NA,12058191.2470135,16.3052547584973,16.3052547584973,12058191.2470135,16.4990806607038,14637256.6362503,17.193278174101,29305277.4085478,19209688.7098782
"8","Czech Republic","Developed_Countries",NA,NA,NA,78814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78800000,NA,18.1826,9,3,77232.3,11.25457,0.997051,1.00567,98.1817,22.0005,21.9991,2.2e+11,26.11689,682.0922,0.377597,9.861661,12,19.02336,1.83e+08,19.09471,1.96e+08,78800000,18.1826,-0.8407536,0.481939,1.11707,1.10043,0.999219,0.210831,109377,135.674,2.179304,51.4293,11.60256,18.1826,78800000,0.026553,17.94403,62100000,1,"CZE",0.8610598,1.723981,0.8956473,0.9405336,-0.401548,-0.022185,18.96162,1.72e+08,78800000,18.1826,18.41821,99800000,0,3,"Europe",78814000,18.1826012040222,NA,1,3.94020804896116,-0.973927789657607,4.91025494936767,26.1168933832988,2.84097710806994,1.04414804513805,31724463.5462323,149679206.38976,18.8240049378701,18.1826012040222,78813999.9999999,18.9470188308101,169272234.318627,18.9554470333594,170704924.014037,119947817.339483
"9","Denmark","Developed_Countries",NA,NA,NA,313792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14e+08,NA,19.56424,9,2,42193.1,10.65001,0.908926,1.84231,185.004,17.9213,17.8708,3.4e+11,26.55221,705.02,0.187785,4.986107,11,19.49208,2.92e+08,19.53175,3.04e+08,3.14e+08,19.56424,0.0721645,2.20602,1.65909,1.94967,1.54922,0.63976,43603.5,132.843,3.996083,62.5737,10.68289,19.56424,3.14e+08,1.01667,19.17936,2.14e+08,1,"DNK",1.092468,3.020936,-0.3830248,1.063565,-1.654861,-1.049099,20.50519,8.04e+08,3.14e+08,19.56424,19.71245,3.64e+08,0,3,"Europe",313792000,19.564240903993,NA,1,4.13634506203212,-1.6724575876024,4.88916797981271,26.5522114545566,5.76370482295667,1.75158046637432,156699963.508157,509908853.497005,20.0497425490772,19.564240903993,313792000,20.0177073990813,493832722.349069,19.7409141292995,374429513.89161,461766873.495172
"10","Estonia","Developed_Countries",545.082,266,14,199734,12079.5,123649,111570,12079.5,1,2,1,1,2,3,5651,7266,1,1,1,1.24e+08,2e+08,18.6329574645557,19.1125,9,1,42888.5,10.66636,0.664934,1.09536,93.9455,20.2057,19.501,2.3e+10,23.85876,569.2405,0.571491,13.63507,10,18.18884,79300000,18.3166,90100000,2e+08,19.1125,0.9236584,1.32364,1.64971,1.29073,1.19828,0.043761,17854.6,30.9333,2.814645,22.1743,9.790018,19.1125,2e+08,0.669681,18.76515,1.41e+08,1,"EST",0.0634674,1.678134,2.146153,0.276744,0.5064141,0.9596641,16.87564,21300000,2e+08,19.1125,19.28928,2.38e+08,0,3,"Europe",199734000,19.1124970392773,123649000,1,3.09893396061735,-0.559506543902769,3.43183327353726,23.8587600528756,-3.15258547074009,NA,148666901.359395,67320586.5237513,18.024976639723,19.1124970392773,199734000,17.8990418350607,59354698.0969565,18.251356564295,84423517.515006,297172893.671223
