"","X","countries","type","amt_provided_developinginthousan","mobilizing_int_finflowsinusdthou","mobililizing_int_flows_coeff","dom_exp","gaps","needs","avail_resources","expected_funding_gap","int_pob","incl","eval","inc_pob","type_exp","sources","domestice_sources","international_sources","report_dom_exp","report_funding_gaps","prepare_fin_plans","newneeds","domexp_thousand","ln_newneeds","lndomexp_thousand","birdspeciesthreatened.x","mammalspeciesthreatened.x","landareasqkm","ln_landarea.x","politicalstabilityandabsenceofvi","governmenteffectivenessestimate","Price_Index_yr2011.x","terrestrialprotectedareasoftotal.x","terrestrialandmarineprotectedare.x","gdpconstant2010us","lnGDP","GDP_sq","CO2_Ems","GDP_CO2","Threatened_Species","yhat_exp","exp_domexp3","yhat_9","N9","manual_exp7","lnmanual_exp7","error","controlofcorruptionestimate","regulatoryqualityestimate","ruleoflawestimate","voiceandaccountabilityestimate","populationgrowthannual","average_co2emmkt","average_population_density.x","Gov.x","agriculturallandoflandarea","ln_average_co2emmkt","ln_manual_E12","manual_E12","oilrentsofgdp.x","yhat_N12","N_12","OR_Table9","countrycode.x","pc1","pc2","pc3","pc4","pc5","pc6","yhat_exp_pca","Exp_pca","manual_exp_pca","lnmanual_exp_pca","yhat","N_pca","biofin","dev","broad_region","new_domexp.x","ln_newdomexp.x","new_needs","constant.x","rishmanexp","ln_rishman.x","RishAbsDiff","ln_rishman2","ExtrapExpRishman","ln_ManualExtrapRishman","ManualExtrapRishman","ln_agland","ln_CO2ems","ln_popdnsty.x","ln_GDP2010","co2emissions.x","iso3c.x.x","aglandpercent.x","AvgCO2ReductionPercent.x","ln_CO2reduct","AvgAgGrowth.x","lnPriceIndex","aglandtimesgrowth","birdspeciesperlandarea","mlr1Exp","ln_Emily_Manual_Exp","Emily_Manual_Exp","mlr1Needs.x","countrycode.y","AverageGDPrate","GDP","birdspeciesthreatened.y","ln_landarea.y","Gov.y","average_population_density.y","mammalspeciesthreatened.y","Price_Index_yr2011.y","terrestrialprotectedareasoftotal.y","ln_popdnsty.y","constant.y","AvgCO2ReductionPercent.y","new_domexp.y","ln_newdomexp.y","AvgAgGrowth.y","GDPmultiplier","2030GDP","iso3c.x","aglandpercent.y","futureagland","growthmultiplier_agland","futureco2level","growthmultiplier_co2ems.x","iso3c.y","co2emissions.y","AvgCO2Growth","iso3c.y.y","co2ppp","futureco2levelppp","growthmultiplier_co2ems.y","ln_futureGDP","ln_futureAgLand","ln_futureco2ppp","futureGDP_sq","ln_rishman.y","ExpRishman","mlr1Expenditures","mlr1Needs.y","oilrentsofgdp.y","terrestrialandmarineprotectedare.y","RishmanNeeds"
"1",1,"Afghanistan","Least_dev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,652860,13.38912,-2.64014,-1.33452,46.7061,0.103138,0.104707,1.7e+10,23.55648,554.9077,0.150967,3.556251,27,16.32281,12300000,16.57669,15800000,12300000,16.32281,NA,-1.44742,-1.18302,-1.53721,-1.05601,2.82882,7353.56,48.1928,-3.608307,58.0677,8.90294,16.01329,9004964,0.01589,16.01929,9059230,1,"AFG",-0.9311837,-3.103858,-0.1080927,0.2955567,-0.7762964,-1.560895,16.53964,15200000,15200000,16.53964,16.87918,21400000,0,0,"Asia",NA,NA,NA,1,NA,16.1787925639979,NA,16.168612611716,10518147.0277798,16.168612611716,10518147.0277798,4.06160957122915,-1.89069400909758,3.87520963230525,23.5564791810026,9809.225,"AFG",58.0675795729559,-29.6380874177038,NA,6.95794474142065e-09,3.84387477712968,4.04031847861392e-07,2.45075513892718e-05,42920426.5359663,17.5748584136076,42920426.5359663,66294679.0502254,"AFG",0.0623540586846197,19362969582.3643,16,13.38912,-3.608307,48.1928,11,46.7061,0.103138,3.87520963230525,1,-29.6380874177038,NA,NA,6.95794474142065e-09,1.06235405868462,40013205126.8576,"AFG",58.0675795729559,58.0675796295202,1.00000000006958,624247.107658836,1.29638087417704,"AFG",9809.225,29.6380874177038,"AFG",0.154910350011498,1.81533205232353,1.16628510067829,24.4124753647515,4.06160749829352,0.59626839992228,595.968953434598,16.1797753436236,10636216.0435889,54484097.2135217,83668522.0117016,0.01589,0.104707,9885937.20303305
"2",2,"Albania","Trans_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,27400,10.2183,0.387446,0.027313,57.818,17.5607,13.3997,1.2e+10,23.20817,538.6193,0.174785,4.05644,11,16.20104,10900000,16.46316,14100000,10900000,16.20104,NA,-0.474535,0.220484,-0.357789,0.175902,-0.199368,4678.68,106.224,-0.0820191,42.9412,8.450772,15.95705,8512551,1.72775,16.14595,10300000,1,"ALB",-1.468591,0.2207803,-0.1506194,0.3202207,-0.2188727,0.0259915,15.97261,8646027,8646027,15.97261,16.34801,12600000,0,2,"Europe",NA,NA,NA,1,NA,16.1212304088326,NA,16.1407050550823,10228669.3390409,16.1407050550823,10228669.3390409,3.75983173803128,-1.74419863179977,4.6655500719768,23.2081724867344,5716.853,"ALB",43.1277354442292,-3.46864773983352,NA,0.554010661328688,4.05730014588272,23.7898826102475,0.000291970802919708,11111629.95337,16.2235028613292,11111629.95337,17737005.1462732,"ALB",0.0316328422658065,15102500898.238,8,10.2183,-0.0820191,106.224,3,57.818,17.5607,4.6655500719768,1,-3.46864773983352,NA,NA,0.554010661328688,1.03163284226581,21945768054.939,"ALB",43.1277354442292,46.59595511659,1.00554010661329,9865.0069718336,1.03468647739834,"ALB",5716.853,3.46864773983352,"ALB",0.175745946546153,0.102234367474052,0.966706135145046,23.81184015856,3.84151373729108,-2.28048738108673,567.003731736811,16.1673488547116,10504863.0414334,13661368.8301225,21697643.6128811,1.72775,13.3997,12957292.8022379
"3",3,"Algeria","Developing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,2400000,14.68334,-1.01753,-0.508536,53.9264,7.49671,7.1055,1.7e+11,25.85906,668.6912,0.262409,6.785651,29,18.8423,1.52e+08,18.92589,1.66e+08,1.52e+08,18.8423,NA,-0.632826,-1.2177,-0.826752,-0.882659,2.03653,121367,15.7886,-1.858835,17.3655,11.70657,17.64675,46100000,22.2404,19.41488,2.7e+08,1,"DZA",0.8165026,-1.451832,0.6322994,-2.160594,-1.131322,-0.1865116,17.28827,32200000,32200000,17.28827,17.58044,43200000,0,1,"Africa",NA,NA,NA,1,NA,17.6921473326578,NA,17.7994645409884,53729058.5664161,17.7994645409884,53729058.5664161,2.85448547933176,-1.3378509237199,2.75928816062548,25.8590642739967,145400.217,"DZA",17.3655391515237,-5.32473947335842,NA,0.0434928437231024,3.98762015392245,0.755274977673535,6.25e-06,37313670.242695,17.4348703119136,37313670.242695,57831266.8685602,"DZA",0.0273636363636364,173757952824.25,15,14.68334,-1.858835,15.7886,14,53.9264,7.49671,2.75928816062548,1,-5.32473947335842,NA,NA,0.0434928437231024,1.02736363636364,240234274266.971,"DZA",17.3655391515237,17.4715773345504,1.00043492843723,333465.839797856,1.05324739473358,"DZA",145400.217,5.32473947335842,"DZA",0.260745941243249,0.262147148616036,1.00033502198132,26.2048804269499,2.86057540825285,-1.33884929694041,686.695758190742,17.8411682205428,56017137.0448213,44983524.3020832,69401959.9422015,22.2404,7.1055,265429891.884975
"4",4,"American Samoa","Small_Island_dev_states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,200,5.298317,1.01661,0.482934,NA,11.9885,8.71588,5.6e+08,20.1501,406.0264,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,0.76333,0.230719,1.20683,0.934922,-0.548197,NA,282.036,1.718405,24.4545,NA,NA,NA,0,NA,NA,1,"ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"America",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3.19681424806568,NA,5.64203472236479,20.1434473416935,NA,"ASM",24.5000004768372,NA,NA,-0.191666492157486,NA,-4.68710823246523,0.04,NA,NA,NA,NA,"ASM",0,6.36e+08,8,5.298317,1.718405,282.036,1,NA,11.9885,5.64203472236479,1,NA,NA,NA,-0.191666492157486,1,6.36e+08,"ASM",24.5000004768372,23.8507122346092,0.998083335078425,NA,NA,"ASM",NA,NA,"ASM",NA,NA,NA,20.2707091213044,3.1718140799748,NA,410.901648280533,NA,NA,NA,NA,0,8.71588,NA
"5",5,"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,470,6.152733,1.33978,1.65157,NA,24.8818,24.8821,3.4e+09,21.95968,482.2274,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1.26258,1.28805,1.37719,1.27508,-0.183689,508.491,172.165,3.196657,42.087,6.231447,NA,NA,NA,NA,NA,1,"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Europe",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3.73973890440474,NA,5.14845331930262,21.9470412685685,462.042,"AND",39.9574482694585,1.89484466870385,0.63913686615303,-1.44536103801664,NA,-60.8309100070064,0.00638297872340425,5159074.02833551,15.4562676694814,5159074.02833551,8390469.39795896,"AND",0,3236543909.34844,3,6.152733,3.196657,172.165,2,NA,24.8818,5.14845331930262,1,1.89484466870385,NA,NA,-1.44536103801664,1,3236543909.34844,"AND",39.9574482694585,32.5894284786652,0.985546389619834,340.212863909918,0.981051553312962,"AND",462.042,-1.89484466870385,"AND",NA,NA,NA,21.8977719027815,3.48398795598705,NA,479.512414306246,NA,NA,4401828.74764245,7186641.26490546,NA,24.8821,NA
"6",6,"Angola","Least_dev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,18,1200000,14.03601,-0.360137,-1.04741,93.9761,6.97095,5.00471,9e+10,25.22308,636.2036,0.197271,4.975781,50,17.94049,61900000,18.08503,71500000,61900000,17.94049,NA,-1.36708,-0.988603,-1.08793,-1.09681,3.38257,29010.9,20.2541,-2.208952,46.9888,10.27543,17.71953,49600000,31.6781,20.32838,6.74e+08,1,"AGO",0.697648,-1.503421,0.2489528,-1.932255,-1.65848,-0.4276443,17.62004,44900000,44900000,17.62004,17.89123,58900000,0,0,"Africa",NA,NA,NA,1,NA,17.8033639785008,NA,17.7821612675108,52807367.1083668,17.7821612675108,52807367.1083668,3.84990927544027,-1.6231768610447,3.00835724219424,25.2230755072767,34763.16,"AGO",47.4773401780701,-6.47301392650025,NA,0.275185260179812,4.54304049462249,12.9306251535372,2.66666666666667e-05,46991813.2280865,17.6654839578656,46991813.2280865,72423358.8317095,"AGO",0.0315983572324965,105750987618.63,32,14.03601,-2.208952,20.2541,18,93.9761,6.97095,3.00835724219424,1,-6.47301392650025,NA,NA,0.275185260179812,1.0315983572325,153607398672.922,"AGO",47.4773401780701,49.3395293902541,1.0027518526018,94831.367223136,1.064730139265,"AGO",34763.16,6.47301392650025,"AGO",0.179228056595686,0.107002942084371,0.968276424235056,25.7576658249434,3.89872557295791,-2.23489894878262,663.457348749459,17.8676767219334,57521924.1081824,62748951.2142074,96029695.8665448,31.6781,5.00471,540988733.981258
"7",7,"Antigua and Barbuda","Developing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,440,6.086775,0.86838,0.085511,82.6945,18.8231,0.26279,1.3e+09,20.98563,440.3967,0.261143,5.48025,5,13.55065,767311.9,13.99191,1192911,767311.9,13.55065,NA,0.5084,0.382261,0.351626,0.602726,1.01618,502.379,204.623,1.012466,20.4545,6.219355,13.26115,574437.5,0,13.67583,869639.2,1,"ATG",-2.913892,1.413288,0.4007313,-0.0504586,0.7635199,0.7110408,13.68451,877219.2,877219.2,13.68451,14.20465,1475707,0,1,"America",NA,NA,NA,1,NA,13.4948765084287,NA,13.639639093425,838725.782413796,13.639639093425,838725.782413796,3.01820290718136,-1.34268712897755,5.32116926166675,20.9856301014139,531.715,"ATG",20.4545454545455,-2.37149323348189,NA,0,4.41515309437671,0,0.00681818181818182,1652475.74455091,14.3177851725675,1652475.74455091,2763037.40546916,"ATG",0.00432263676121581,1610574074.07407,3,6.086775,1.012466,204.623,2,82.6945,18.8231,5.32116926166675,1,-2.37149323348189,NA,NA,0,1.00432263676122,1696132289.52263,"ATG",20.4545454545455,20.4545454545455,1,773.648205192671,1.02371493233482,"ATG",531.715,2.37149323348189,"ATG",0.265955229185654,0.248729723231506,0.995823674876885,21.251616372172,3.01820512940605,-1.39138842091315,451.631198429968,13.4472151894066,691912.782223084,1618226.34996395,2707150.36889051,0,0.26279,730611.475995238
"8",8,"Argentina","Developing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,38,2700000,14.82226,0.080731,0.020703,83.2112,8.8355,7.44628,4.3e+11,26.78705,717.5461,0.250747,6.716773,90,20.1551,5.67e+08,20.14995,5.64e+08,5.67e+08,20.1551,NA,-0.342427,-0.597913,-0.507214,0.468417,1.05752,187274,15.2755,-0.5935276,53.5984,12.14033,20.08572,5.29e+08,2.40926,20.08439,5.28e+08,1,"ARG",2.179143,-0.7745543,-0.5029278,0.4750156,-0.1747865,-0.494229,20.13403,5.55e+08,5.55e+08,20.13403,20.2462,6.21e+08,0,1,"America",NA,NA,NA,1,NA,20.09736616506,NA,19.967338955556,469575172.471291,19.967338955556,469575172.471291,3.98151921688495,-1.38331081631934,2.72625023774616,26.787051045634,204024.546,"ARG",54.3357121193851,-2.69959738479298,NA,0.530180379957949,4.42138195415194,28.4168200771381,1.92592592592593e-05,559077617.813571,20.1417988726675,559077617.813571,811234652.800691,"ARG",0.0127017961821278,519871519807.795,52,14.82226,-0.5935276,15.2755,38,83.2112,8.8355,2.72625023774616,1,-2.69959738479298,NA,NA,0.530180379957949,1.01270179618213,604888028407,"ARG",54.3357121193851,58.5107720306825,1.00530180379958,312451.257275764,1.02699597384793,"ARG",204024.546,2.69959738479298,"ARG",0.238975967049125,0.148244057986952,0.97059699342696,27.1283092008352,4.06921087456325,-1.90889532293993,735.945160096118,20.125746296054,550174630.642393,762882600.364439,1098615804.34938,2.40926,7.44628,691505225.720317
"9",9,"Armenia","Trans_Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,9,28470,10.25661,-0.450241,-0.129153,64.7687,23.1103,23.11,1.1e+10,23.12116,534.5881,0.24611,5.690349,23,15.87355,7830606,16.1578,10400000,7830606,15.87355,NA,-0.507869,0.251006,-0.235698,-0.470411,0.370595,5024.6,102.383,-0.4377487,60.1485,8.522102,16.16486,10500000,0,16.27962,11800000,1,"ARM",-1.13905,-0.3811058,0.0862375,0.9516874,-0.1101584,0.0140705,16.4581,1.4e+07,1.4e+07,16.4581,16.80279,19800000,0,2,"Asia",NA,NA,NA,1,NA,16.3392731294912,NA,16.2769112901569,11721218.334394,16.2769112901569,11721218.334394,4.09681650445388,-1.401976688522,4.62872068319829,23.1211611097448,5529.836,"ARM",58.8970863655824,-5.01219099810334,NA,-0.460791562020364,4.17082246197287,-27.7159212681819,0.000491745697225149,10649510.878399,16.1810245221541,10649510.878399,17016933.7121271,"ARM",0.0271363739666974,12433089919.0459,14,10.25661,-0.4377487,102.383,9,64.7687,23.1103,4.62872068319829,1,-5.01219099810334,NA,NA,-0.460791562020364,1.0271363739667,17144166841.111,"ARM",58.8970863655824,55.2093164274619,0.995392084379796,12093.3819108314,1.05012190998103,"ARM",5529.836,5.01219099810334,"ARM",0.225901574651004,0.14853641221875,0.974136024928509,23.5649238268197,4.01113171490182,-1.90692515066975,555.305634963815,16.1210443704285,10029530.7121974,10750148.2118568,17173809.9409112,0,23.11,14215229.8258453
"10",10,"Aruba","Small_Island_dev_states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,180,5.192957,1.25983,1.14911,90.7795,12.7884,0.270103,2.6e+09,21.66728,469.4709,0.571283,12.37814,4,14.3884,1773386,14.77304,2605239,1773386,14.3884,NA,1.19591,1.18786,1.19295,1.21211,0.434582,2102.41,572.009,2.762994,11.1111,7.650841,14.11347,1347114,0,14.36882,1738999,1,"ABW",-1.943219,2.564593,2.320322,-0.171771,1.79859,0.60505,14.00301,1206228,1206228,14.00301,14.503,1988713,0,4,"America",NA,NA,NA,1,NA,14.3522033135303,NA,14.4493902567198,1884909.29194036,14.4493902567198,1884909.29194036,2.40794460865137,-0.559870570389716,6.34915472552175,21.6787772819738,872.746,"ABW",11.1111111111111,8.50478485953252,2.14062892976451,0,4.50843348919205,0,0.0111111111111111,1195272.84237369,13.9938850372647,1195272.84237369,2014388.89356568,"ABW",0,2570278253.9186,2,5.192957,2.762994,572.009,2,90.7795,12.7884,6.34915472552175,1,8.50478485953252,NA,NA,0,1,2570278253.9186,"ABW",11.1111111111111,11.1111111111111,1,210.504793498656,0.914952151404675,"ABW",872.746,-8.50478485953252,"ABW",0.220024128705687,0.0421113703599782,0.90182146172475,21.66728,2.40794560865187,-3.16743749494933,469.4710225984,14.2193722770631,1497596.84359808,1195281.98039712,2014403.91891807,0,0.270103,1480056.4735408
