"","countries","new_domexp","anthonyMan","ManualExtrap","AnthonyNeeds","ExtrapExpRish","ManualExtrapRishman","RishmanNeeds","EmExtrapExp","Wise_Manual_Exp","EmNeeds"
"1","Australia",NA,8648001821.47043,8648001821.47043,11091029209.0561,15036466041.1397,8648001821.47043,26536965754.7493,5488168237.28148,5488168237.28148,7477980166.58297
"2","Austria",45950000,399014161.615987,45950000,74683291.3316502,347353101.519465,45950000,323240029.254592,369418102.887313,45950000,571590402.809131
"3","Belgium",NA,178519206.634132,178519206.634132,272875321.071348,196000567.563915,178519206.634132,171413368.525731,237863501.153107,237863501.153107,394092511.538844
"4","Bulgaria",75015000,46527436.0782102,75014999.9999999,119249959.699015,47037172.8252279,75014999.9999999,55057527.4385536,41455466.0192179,75015000,129092187.679088
"5","Canada",7.2e+09,16381901142.8045,7199999999.99999,9310824403.35803,6665230644.57254,7199999999.99999,5729584578.04397,2165916669.78076,7.2e+09,2995486664.05841
"6","Croatia",95427000,47507913.2983566,95427000,150056150.366801,33407270.5160025,95427000,37518848.3120355,33351116.2234084,95427000,118157526.482064
"7","Cyprus",NA,29305277.4085478,29305277.4085478,48609260.3114774,14637256.6362503,29305277.4085478,11919560.80788,20246315.8673665,20246315.8673665,100476089.283727
"8","Czech Republic",78814000,170704924.014037,78813999.9999999,125009515.662711,169272234.318627,78813999.9999999,157350145.371112,172426490.060462,78814000,305802696.307281
"9","Denmark",313792000,374429513.89161,313792000,467564728.272268,493832722.349069,313792000,463357402.36063,710856653.891119,313792000,1032270774.32517
"10","Estonia",199734000,84423517.515006,199734000,303756493.210362,59354698.0969565,199734000,54294172.3493384,40596686.9153202,199734000,127933494.041622
"11","Finland",3e+09,1239105921.11421,3e+09,4036211395.06018,616559643.576898,3e+09,458475293.794504,230959912.313154,3e+09,384777957.390716
"12","France",2.5e+09,1384685760.5094,2.5e+09,3391361123.59598,1414534918.2276,2.5e+09,1357062101.99748,2305691939.64225,2.5e+09,3184076157.12894
"13","Germany",1.7e+09,1889749806.75065,1.7e+09,2346705527.57862,2105656806.88414,1.7e+09,2265747565.61557,2813250569.70366,1.7e+09,3868891323.94429
"14","Greece",106970000,106024861.095312,106970000,167340680.163433,88553261.0982739,106970000,101424898.944763,136775987.23162,106970000,257701839.389864
"15","Hungary",20912000,95090145.2969614,20912000,35220639.3802696,107953923.435723,20912000,103511519.957589,116523972.350265,20912000,230377140.078487
